,Unnamed: 0,full_sentence,verb_masked_sentence,verb_true_label,verb_false_label,verb_true_label_p,verb_false_label_p,verb_is_accurate,subject,subject_masked_sentence,subject_true_label,subject_false_label,subject_true_label_p,subject_false_label_p,subject_is_accurate
0,0,"An agreeable insight executed in fifty represents there add billion "" weapons "" in the Abdul Israelis , but underage commanders are slowly healthier than this . <eos>","An agreeable insight executed in fifty [MASK] there add billion "" weapons "" in the Abdul Israelis , but underage commanders are slowly healthier than this . <eos>",represents,represent,-0.9866142272949219,-3.428316831588745,True,insight,"An agreeable [MASK] executed in fifty represents there add billion "" weapons "" in the Abdul Israelis , but underage commanders are slowly healthier than this . <eos>",insight,insights,-0.8892733454704285,-4.190518379211426,True
1,4,"The sauce to recruit in pastor approves that Full European complexes and Communists and strange Jewish species are conventional to hang soon thereby violent to the Amsterdam in ISI than al - Taiwan animals , and it would be numerous to recover one 's alarms off the governmental radar . <eos>","The sauce to recruit in pastor [MASK] that Full European complexes and Communists and strange Jewish species are conventional to hang soon thereby violent to the Amsterdam in ISI than al - Taiwan animals , and it would be numerous to recover one 's alarms off the governmental radar . <eos>",approves,approve,-0.5197142362594604,-1.5203220844268799,True,sauce,"The [MASK] to recruit in pastor approves that Full European complexes and Communists and strange Jewish species are conventional to hang soon thereby violent to the Amsterdam in ISI than al - Taiwan animals , and it would be numerous to recover one 's alarms off the governmental radar . <eos>",sauce,sauces,-2.035996437072754,1.6536301374435425,False
2,6,Cats provide the ownership but spend her huge manufacturer and the pup cares . <eos>,Cats provide the ownership but [MASK] her huge manufacturer and the pup cares . <eos>,spend,spends,3.303349494934082,1.3623775243759155,True,Cats,[MASK] provide the ownership but spend her huge manufacturer and the pup cares . <eos>,Cats,Cat,3.7025744915008545,3.2669899463653564,True
3,8,Can you expire that the ground we are happening decides toward a partial and soothing custody ? <eos>,Can you expire that the ground we are happening [MASK] toward a partial and soothing custody ? <eos>,decides,decide,3.5394647121429443,-1.590966820716858,True,you,Can [MASK] expire that the ground we are happening decides toward a partial and soothing custody ? <eos>,you,you,6.712282180786133,6.712282180786133,False
4,10,I continue this illegal bombing and carry to hang this popular exam . <eos>,I continue this illegal bombing and [MASK] to hang this popular exam . <eos>,carry,carries,2.6441023349761963,-2.332909107208252,True,I,[MASK] continue this illegal bombing and carry to hang this popular exam . <eos>,I,we,10.694164276123047,7.961476802825928,True
5,12,"Well , unless equally probably the third rape he caused in the stuff sucks out . <eos>","Well , unless equally probably the third rape he caused in the stuff [MASK] out . <eos>",sucks,suck,0.5047695636749268,-1.9964145421981812,True,rape,"Well , unless equally probably the third [MASK] he caused in the stuff sucks out . <eos>",rape,rapes,2.5208945274353027,-0.8355660438537598,True
6,14,Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and recognize respectfully to system the mile after we continue ) <eos>,Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and [MASK] respectfully to system the mile after we continue ) <eos>,recognize,recognizes,2.651240348815918,-1.7648853063583374,True,you,Reports occasionally : Fabio thousand through Ontario five ( expecting [MASK] recognize on the litter we hear and recognize respectfully to system the mile after we continue ) <eos>,you,you,7.018723964691162,7.018723964691162,False
7,16,The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and creates into the sentiment client . <eos>,The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and [MASK] into the sentiment client . <eos>,creates,create,4.1805901527404785,0.11742112785577774,True,spine,The first [MASK] you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and creates into the sentiment client . <eos>,spine,spines,-1.2328702211380005,-4.911334991455078,True
8,18,"My career with using the fantasy frequently enters , could it be eaten that perfectly everyone bought the swap would or could eat at any justice , since we happily prevented Veterinary and Wars and if they gave they might have grown a scientific blackmail ?? <eos>","My career with using the fantasy frequently [MASK] , could it be eaten that perfectly everyone bought the swap would or could eat at any justice , since we happily prevented Veterinary and Wars and if they gave they might have grown a scientific blackmail ?? <eos>",enters,enter,0.768277108669281,-1.8643012046813965,True,everyone,"My career with using the fantasy frequently enters , could it be eaten that perfectly [MASK] bought the swap would or could eat at any justice , since we happily prevented Veterinary and Wars and if they gave they might have grown a scientific blackmail ?? <eos>",everyone,everyones,6.265378952026367,0.6078753471374512,True
9,20,Copies throw the aircraft but refuse her complicated drying and the path belongs . <eos>,Copies throw the aircraft but [MASK] her complicated drying and the path belongs . <eos>,refuse,refuses,1.7914737462997437,-1.6365180015563965,True,Copies,[MASK] throw the aircraft but refuse her complicated drying and the path belongs . <eos>,Copies,Copy,1.6342430114746094,1.6342430114746094,False
10,22,"the ecological wines we believe in our night insist ; we come drawer today for easter , rivalry difficulty and weapon - machine for Louisiana . <eos>","the ecological wines we believe in our night [MASK] ; we come drawer today for easter , rivalry difficulty and weapon - machine for Louisiana . <eos>",insist,insists,-1.7218499183654785,-1.822030782699585,True,we,"the ecological wines [MASK] believe in our night insist ; [MASK] come dra[MASK]r today for easter , rivalry difficulty and [MASK]apon - machine for Louisiana . <eos>",we,wes,14.027179718017578,-0.8167731761932373,True
11,24,"The wolf to continue in time adds that Critical Afghan kinds and Pakistanis and dissatisfied Kurdish gentlemen are romantic to harass badly faithfully tall to the Andrew in Ashcroft than al - Lonely appointees , and it would be gullible to prove one 's ecosystems off the final sea . <eos>","The wolf to continue in time [MASK] that Critical Afghan kinds and Pakistanis and dissatisfied Kurdish gentlemen are romantic to harass badly faithfully tall to the Andrew in Ashcroft than al - Lonely appointees , and it would be gullible to prove one 's ecosystems off the final sea . <eos>",adds,add,5.532100200653076,2.9084839820861816,True,wolf,"The [MASK] to continue in time adds that Critical Afghan kinds and Pakistanis and dissatisfied Kurdish gentlemen are romantic to harass badly faithfully tall to the Andrew in Ashcroft than al - Lonely appointees , and it would be gullible to prove one 's ecosystems off the final sea . <eos>",wolf,wolves,-0.0692962110042572,-2.5797019004821777,True
