,full_sentence,verb_masked_sentence,verb_true_label,verb_false_label
0,"An agreeable insight executed in fifty represents there add billion "" weapons "" in the Abdul Israelis , but underage commanders are slowly healthier than this . <eos>","An agreeable insight executed in fifty [MASK] there add billion "" weapons "" in the Abdul Israelis , but underage commanders are slowly healthier than this . <eos>",represents,represent
4,"The sauce to recruit in pastor approves that Full European complexes and Communists and strange Jewish species are conventional to hang soon thereby violent to the Amsterdam in ISI than al - Taiwan animals , and it would be numerous to recover one 's alarms off the governmental radar . <eos>","The sauce to recruit in pastor [MASK] that Full European complexes and Communists and strange Jewish species are conventional to hang soon thereby violent to the Amsterdam in ISI than al - Taiwan animals , and it would be numerous to recover one 's alarms off the governmental radar . <eos>",approves,approve
6,Cats provide the ownership but spend her huge manufacturer and the pup cares . <eos>,Cats provide the ownership but [MASK] her huge manufacturer and the pup cares . <eos>,spend,spends
8,Can you expire that the ground we are happening decides toward a partial and soothing custody ? <eos>,Can you expire that the ground we are happening [MASK] toward a partial and soothing custody ? <eos>,decides,decide
10,I continue this illegal bombing and carry to hang this popular exam . <eos>,I continue this illegal bombing and [MASK] to hang this popular exam . <eos>,carry,carries
12,"Well , unless equally probably the third rape he caused in the stuff sucks out . <eos>","Well , unless equally probably the third rape he caused in the stuff [MASK] out . <eos>",sucks,suck
14,Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and recognize respectfully to system the mile after we continue ) <eos>,Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and [MASK] respectfully to system the mile after we continue ) <eos>,recognize,recognizes
16,The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and creates into the sentiment client . <eos>,The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and [MASK] into the sentiment client . <eos>,creates,create
18,"My career with using the fantasy frequently enters , could it be eaten that perfectly everyone bought the swap would or could eat at any justice , since we happily prevented Veterinary and Wars and if they gave they might have grown a scientific blackmail ?? <eos>","My career with using the fantasy frequently [MASK] , could it be eaten that perfectly everyone bought the swap would or could eat at any justice , since we happily prevented Veterinary and Wars and if they gave they might have grown a scientific blackmail ?? <eos>",enters,enter
20,Copies throw the aircraft but refuse her complicated drying and the path belongs . <eos>,Copies throw the aircraft but [MASK] her complicated drying and the path belongs . <eos>,refuse,refuses
22,"the ecological wines we believe in our night insist ; we come drawer today for easter , rivalry difficulty and weapon - machine for Louisiana . <eos>","the ecological wines we believe in our night [MASK] ; we come drawer today for easter , rivalry difficulty and weapon - machine for Louisiana . <eos>",insist,insists
24,"The wolf to continue in time adds that Critical Afghan kinds and Pakistanis and dissatisfied Kurdish gentlemen are romantic to harass badly faithfully tall to the Andrew in Ashcroft than al - Lonely appointees , and it would be gullible to prove one 's ecosystems off the final sea . <eos>","The wolf to continue in time [MASK] that Critical Afghan kinds and Pakistanis and dissatisfied Kurdish gentlemen are romantic to harass badly faithfully tall to the Andrew in Ashcroft than al - Lonely appointees , and it would be gullible to prove one 's ecosystems off the final sea . <eos>",adds,add
28,See for a petroleum of reviewers in their junk that submits from the date and reflects really to the police fo the looting . <eos>,See for a petroleum of reviewers in their junk that submits from the date and [MASK] really to the police fo the looting . <eos>,reflects,reflect
30,"As you seem above the ton , the perfume of the critical protein provides your pattern and throws you reassure newer and taller . <eos>","As you seem above the ton , the perfume of the critical protein provides your pattern and [MASK] you reassure newer and taller . <eos>",throws,throw
32,"Whie I do n't solve to the commission that the stars we choose or receive to spend no aircraft on our death ( which I want is promptly generic ) , it does generate me whenever projects carry out a relaxed spa of crimes to see the pork on . <eos>","Whie I do n't solve to the commission that the stars we choose or receive to [MASK] no aircraft on our death ( which I want is promptly generic ) , it does generate me whenever projects carry out a relaxed spa of crimes to see the pork on . <eos>",spend,spends
34,This clerk of luck represents around the snow s swing and controllers and generates a revenue for the nightmare accidentally on the receipt of the club in tribe of decision seconds . <eos>,This clerk of luck represents around the snow s swing and controllers and [MASK] a revenue for the nightmare accidentally on the receipt of the club in tribe of decision seconds . <eos>,generates,generate
36,"If you tend a news who will put to you and greet he will assess and then recruit his gravy , and not recruit what he is stepping about why he remembers hijackers at investigative minutes and serves they affirm what you condemn , whenever they will not spawn for you , groom to this pup ... he is the audience for you . <eos>","If you tend a news who will put to you and greet he will assess and then recruit his gravy , and not recruit what he is stepping about why he remembers hijackers at investigative minutes and [MASK] they affirm what you condemn , whenever they will not spawn for you , groom to this pup ... he is the audience for you . <eos>",serves,serve
38,Put me disrupt if you pay any fry or consider anything eager . <eos>,Put me disrupt if you pay any fry or [MASK] anything eager . <eos>,consider,considers
40,You assume the picketing and seek tube signature into the welfare . <eos>,You assume the picketing and [MASK] tube signature into the welfare . <eos>,seek,seeks
42,The sole liberty I murdered this vision intends to exploit anyone comparing this if they condemn of some retaliation I can prefer marry a star to this Today Today . <eos>,The sole liberty I murdered this vision [MASK] to exploit anyone comparing this if they condemn of some retaliation I can prefer marry a star to this Today Today . <eos>,intends,intend
46,Programs who seem these adults relate at the ideology entirely ; and it 's defensive to put they are unconnected and dead to grab no if they die there would commit a phenomenon . <eos>,Programs who seem these adults [MASK] at the ideology entirely ; and it 's defensive to put they are unconnected and dead to grab no if they die there would commit a phenomenon . <eos>,relate,relates
48,"Actually adjust your hens to meet this obviously to their references , and still abroad , so that the difficulty to deserve her sees approximately . <eos>","Actually adjust your hens to meet this obviously to their references , and still abroad , so that the difficulty to deserve her [MASK] approximately . <eos>",sees,see
50,Forces indeed : Rahman twenty through Atta thousand ( obtaining you pay on the wasp we hear and refer willingly to conspiracy the rejection after we spend ) <eos>,Forces indeed : Rahman twenty through Atta thousand ( obtaining you pay on the wasp we hear and [MASK] willingly to conspiracy the rejection after we spend ) <eos>,refer,refers
52,Mechanics pose the investment but make her glaring predator and the moon demonstrates . <eos>,Mechanics pose the investment but [MASK] her glaring predator and the moon demonstrates . <eos>,make,makes
56,Ladies initially : Jeremy two through Electoral three ( expanding you manage on the purpose we listen and manage rarely to thread the cat after we listen ) <eos>,Ladies initially : Jeremy two through Electoral three ( expanding you manage on the purpose we listen and [MASK] rarely to thread the cat after we listen ) <eos>,manage,manages
58,The first television you require whenever you exist on guest explains that the city minister solely writes out the duty and compares into the month knee . <eos>,The first television you require whenever you exist on guest explains that the city minister solely writes out the duty and [MASK] into the month knee . <eos>,compares,compare
60,"The annoying corporate degree I have registered enjoys that in the luncheon of Osama eighteen teacher of the mold is apparently traced in the turkey the moon before the vet , this stuff communicated after the substantial magazine . <eos>","The annoying corporate degree I have registered [MASK] that in the luncheon of Osama eighteen teacher of the mold is apparently traced in the turkey the moon before the vet , this stuff communicated after the substantial magazine . <eos>",enjoys,enjoy
62,The healthy personality I provided this rock exists to add anyone leading this if they believe of some teacher I can prove bless a visitor to this Shuttle Deal . <eos>,The healthy personality I provided this rock [MASK] to add anyone leading this if they believe of some teacher I can prove bless a visitor to this Shuttle Deal . <eos>,exists,exist
66,The first pig you carry whenever you eat on possibility exists that the scrap photographer downhill lasts out the punishment and relates into the sensitivity shame . <eos>,The first pig you carry whenever you eat on possibility exists that the scrap photographer downhill lasts out the punishment and [MASK] into the sensitivity shame . <eos>,relates,relate
68,"Otherwise ensure your peoples to burn this aggressively to their homes , and deeply unfortunately , so that the globe to deny her throws appropriately . <eos>","Otherwise ensure your peoples to burn this aggressively to their homes , and deeply unfortunately , so that the globe to deny her [MASK] appropriately . <eos>",throws,throw
70,I decide the notch you began to me loses to the Tiffany McDonald at Atlanta ( maintained in Superfund ) . <eos>,I decide the notch you began to me [MASK] to the Tiffany McDonald at Atlanta ( maintained in Superfund ) . <eos>,loses,lose
72,The unable forthcoming hospitality that he deserves includes that he strongly sees his prisoners and necessarily writes diplomatic with his northeastern wasp . <eos>,The unable forthcoming hospitality that he deserves [MASK] that he strongly sees his prisoners and necessarily writes diplomatic with his northeastern wasp . <eos>,includes,include
